Matches,SubMatches,GradientMatches,Keypoint,SubKeypoint,GradientKeypoint,Class
67,619,9.2388,623,4053,6.5056,1
333,8,0.024,483,4,0.0083,0
631,28,0.0444,904,83,0.0918,0
937,38,0.0406,964,0,0.0,0
878,3,0.0034,936,21,0.0224,0
909,26,0.0286,925,2,0.0022,0
918,10,0.0109,954,13,0.0136,0
909,5,0.0055,964,4,0.0041,0
22,878,39.9091,1590,608,0.3824,1
35,127,3.6286,157,8,0.051,1
101,17,0.1683,222,32,0.1441,0
454,288,0.6344,453,3,0.0066,0
43,513,11.9302,829,271,0.3269,1
2137,3278,1.5339,5208,216,0.0415,0
5117,2980,0.5824,5204,4,0.0008,0
2672,178,0.0666,5090,126,0.0248,0
5532,2507,0.4532,5583,16,0.0029,0
5714,2083,0.3645,5819,17,0.0029,0
4205,87,0.0207,6053,57,0.0094,0
4478,101,0.0226,6604,126,0.0191,0
4210,2015,0.4786,6011,277,0.0461,0
949,3596,3.7893,4020,550,0.1368,1
3633,2384,0.6562,3662,13,0.0035,0
1195,126,0.1054,3432,20,0.0058,0
30,1200,40.0,973,2462,2.5303,1
1738,1022,0.588,1756,7,0.004,0
397,133,0.335,1766,33,0.0187,0
25,401,16.04,195,1104,5.6615,1
153,188,1.2288,361,20,0.0554,0
159,6,0.0377,357,4,0.0112,0
147,13,0.0884,415,7,0.0169,0
125,20,0.16,387,5,0.0129,0
26,59,2.2692,318,130,0.4088,1
117,32,0.2735,400,95,0.2375,0
393,276,0.7023,398,2,0.005,0
436,306,0.7018,436,1,0.0023,0
16,71,4.4375,453,202,0.4459,1
1321,186,0.1408,2094,99,0.0473,0
1682,122,0.0725,2617,150,0.0573,0
1503,136,0.0905,2475,80,0.0323,0
1587,514,0.3239,2715,8,0.0029,0
2898,1227,0.4234,2898,2,0.0007,0
1802,161,0.0893,2964,100,0.0337,0
1793,10,0.0056,3044,172,0.0565,0
1785,166,0.093,3036,77,0.0254,0
800,203,0.2537,3036,160,0.0527,0
3247,2491,0.7672,3278,6,0.0018,0
785,2462,3.1363,3094,184,0.0595,0
36,667,18.5278,306,2762,9.0261,1
253,193,0.7628,253,1,0.004,0
92,7,0.0761,293,41,0.1399,0
396,275,0.6944,395,2,0.0051,0
14,145,10.3571,591,172,0.291,1
2818,90,0.0319,5138,267,0.052,0
2540,9,0.0035,4715,107,0.0227,0
1957,303,0.1548,3933,112,0.0285,0
240,449,1.8708,551,150,0.2722,0
140,370,2.6429,520,10,0.0192,1
139,43,0.3094,503,30,0.0596,0
464,315,0.6789,468,0,0.0,0
125,339,2.712,464,4,0.0086,1
27,538,19.9259,2108,1537,0.7291,1
176,35,0.1989,679,121,0.1782,0
203,373,1.8374,538,40,0.0743,0
132,71,0.5379,445,93,0.209,0
12,87,7.25,176,198,1.125,1
66,194,2.9394,240,34,0.1417,0
82,15,0.1829,415,140,0.3373,0
53,44,0.8302,251,87,0.3466,0
87,104,1.1954,143,49,0.3427,0
54,11,0.2037,141,10,0.0709,0
28,18,0.6429,119,6,0.0504,0
58,597,10.2931,542,115,0.2122,1
1350,1309,0.9696,2336,67,0.0287,0
1383,62,0.0448,2316,8,0.0035,0
1024,359,0.3506,2242,74,0.033,0
1211,82,0.0677,2249,25,0.0111,0
2382,1213,0.5092,2383,1,0.0004,0
1051,385,0.3663,2253,127,0.0564,0
1234,132,0.107,2306,92,0.0399,0
83,1272,15.3253,908,1704,1.8767,1
1119,18,0.0161,1541,40,0.026,0
997,39,0.0391,1551,116,0.0748,0
1549,552,0.3564,1556,5,0.0032,0
1003,25,0.0249,1581,19,0.012,0
1040,147,0.1413,1562,140,0.0896,0
1049,676,0.6444,1549,199,0.1285,0
362,128,0.3536,995,92,0.0925,0
2789,1798,0.6447,2789,0,0.0,0
1149,131,0.114,2908,2,0.0007,0
76,1475,19.4079,276,2594,9.3986,1
576,95,0.1649,1292,71,0.055,0
1546,670,0.4334,1571,5,0.0032,0
729,687,0.9424,1250,178,0.1424,0
503,164,0.326,1137,31,0.0273,0
453,548,1.2097,876,125,0.1427,0
495,22,0.0444,1012,14,0.0138,0
1285,444,0.3455,2037,2,0.001,0
50,1085,21.7,452,1325,2.9314,1
781,48,0.0615,1250,18,0.0144,0
598,413,0.6906,922,97,0.1052,0
489,2,0.0041,1063,12,0.0113,0
147,26,0.1769,413,68,0.1646,0
125,22,0.176,394,19,0.0482,0
355,297,0.8366,701,49,0.0699,0
3135,2681,0.8552,3149,1,0.0003,0
423,2712,6.4113,3681,532,0.1445,1
414,9,0.0217,3997,316,0.0791,0
321,262,0.8162,4483,295,0.0658,0
290,3950,13.6207,4611,368,0.0798,1
73,16,0.2192,170,7,0.0412,0
154,104,0.6753,154,0,0.0,0
26,128,4.9231,467,313,0.6702,1
429,399,0.9301,976,3,0.0031,0
369,516,1.3984,912,58,0.0636,1
521,936,1.7965,1490,28,0.0188,1
634,40,0.0631,1363,42,0.0308,0
484,685,1.4153,1139,44,0.0386,0
555,71,0.1279,1220,81,0.0664,0
565,24,0.0425,1222,45,0.0368,0
323,7,0.0217,707,61,0.0863,0
277,6,0.0217,622,36,0.0579,0
701,391,0.5578,708,3,0.0042,0
13,334,25.6923,4280,3452,0.8065,1
43,29,0.6744,266,12,0.0451,0
62,7,0.1129,252,26,0.1032,0
63,6,0.0952,241,30,0.1245,0
82,3,0.0366,190,6,0.0316,0
70,131,1.8714,197,5,0.0254,0
74,122,1.6486,195,2,0.0103,0
152,343,2.2566,1045,147,0.1407,1
504,9,0.0179,1003,55,0.0548,0
996,492,0.494,1012,9,0.0089,0
315,51,0.1619,799,175,0.219,0
33,238,7.2121,1353,580,0.4287,1
467,354,0.758,469,0,0.0,0
122,345,2.8279,390,79,0.2026,0
237,178,0.7511,379,36,0.095,0
306,23,0.0752,560,25,0.0446,0
340,2,0.0059,584,18,0.0308,0
305,24,0.0787,472,0,0.0,0
202,33,0.1634,340,59,0.1735,0
189,15,0.0794,375,23,0.0613,0
307,13,0.0423,546,41,0.0751,0
41,236,5.7561,58,451,7.7759,1
268,37,0.1381,1844,714,0.3872,0
26,69,2.6538,400,328,0.82,1
247,159,0.6437,249,2,0.008,0
126,24,0.1905,251,33,0.1315,0
108,18,0.1667,330,95,0.2879,0
146,178,1.2192,239,87,0.364,0
138,8,0.058,209,30,0.1435,0
101,7,0.0693,167,7,0.0419,0
196,129,0.6582,202,4,0.0198,0
197,141,0.7157,197,0,0.0,0
65,132,2.0308,186,11,0.0591,0
52,13,0.25,195,9,0.0462,0
91,22,0.2418,222,3,0.0135,0
18,78,4.3333,1555,1365,0.8778,1
327,27,0.0826,1113,25,0.0225,0
1447,871,0.6019,1491,12,0.008,0
41,570,13.9024,2403,817,0.34,1
214,175,0.8178,384,5,0.013,0
239,10,0.0418,428,14,0.0327,0
390,232,0.5949,392,0,0.0,0
152,238,1.5658,384,8,0.0208,0
557,238,0.4273,557,1,0.0018,0
335,5,0.0149,569,31,0.0545,0
482,292,0.6058,488,1,0.002,0
680,297,0.4368,686,1,0.0015,0
550,280,0.5091,552,3,0.0054,0
190,288,1.5158,513,31,0.0604,0
21,370,17.619,54,343,6.3519,1
72,112,1.5556,197,11,0.0558,1
45,145,3.2222,184,7,0.038,1
70,36,0.5143,135,28,0.2074,0
71,1,0.0141,129,6,0.0465,0
178,62,0.3483,251,7,0.0279,0
140,38,0.2714,215,36,0.1674,0
74,2,0.027,148,8,0.0541,0
22,165,7.5,300,104,0.3467,1
49,2,0.0408,73,7,0.0959,0
113,1,0.0088,534,192,0.3596,0
168,43,0.256,566,15,0.0265,0
201,54,0.2687,615,8,0.013,0
240,448,1.8667,624,72,0.1154,0
559,77,0.1377,1118,49,0.0438,0
886,3538,3.9932,4416,53,0.012,0
516,97,0.188,4258,118,0.0277,0
386,3427,8.8782,3043,804,0.2642,0
387,11,0.0284,784,67,0.0855,0
376,7,0.0186,622,16,0.0257,0
401,13,0.0324,636,6,0.0094,0
420,9,0.0214,653,6,0.0092,0
107,6,0.0561,363,23,0.0634,0
325,12,0.0369,660,8,0.0121,0
402,8,0.0199,717,17,0.0237,0
12,447,37.25,236,452,1.9153,1
609,43,0.0706,792,22,0.0278,0
568,49,0.0863,794,21,0.0264,0
493,23,0.0467,806,6,0.0074,0
519,14,0.027,843,0,0.0,0
533,20,0.0375,845,8,0.0095,0
537,6,0.0112,842,7,0.0083,0
523,15,0.0287,809,33,0.0408,0
408,7,0.0172,796,24,0.0302,0
427,22,0.0515,748,43,0.0575,0
518,10,0.0193,744,22,0.0296,0
565,3,0.0053,745,11,0.0148,0
553,6,0.0108,739,6,0.0081,0
642,9,0.014,788,22,0.0279,0
592,15,0.0253,773,9,0.0116,0
456,1,0.0022,760,24,0.0316,0
611,28,0.0458,816,43,0.0527,0
640,32,0.05,826,27,0.0327,0
627,13,0.0207,776,50,0.0644,0
616,16,0.026,794,30,0.0378,0
633,17,0.0269,767,27,0.0352,0
640,16,0.025,792,4,0.0051,0
661,21,0.0318,808,16,0.0198,0
626,7,0.0112,797,15,0.0188,0
650,24,0.0369,791,6,0.0076,0
656,3,0.0046,814,9,0.0111,0
657,21,0.032,795,26,0.0327,0
492,13,0.0264,722,45,0.0623,0
450,52,0.1156,733,5,0.0068,0
10,444,44.4,1367,604,0.4418,1
385,365,0.9481,613,39,0.0636,0
354,12,0.0339,698,5,0.0072,0
